Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price,Recent Price
Mason industrial technology inc,MIT,"",240000.0,2345000.0,0.0354967,0.032,157,0.0,0.0,,0.4800000,Q3 2021,FINANCE,13F,03/31/2022,9.74,
National energy services reunited corp,NESR,"",250000.0,2100000.0,0.0317881,,158,250000.0,,new,0.2751710,Q1 2022,FINANCE,13F,03/31/2022,8.4,
Synovus financial corp. (columbus  ga),SNV,"",40800.0,1999000.0,0.0302593,,159,40800.0,,new,0.0280719,Q1 2022,FINANCE,13F,03/31/2022,49.0,
Interactive brokers group inc,IBKR,"",30100.0,1984000.0,0.0300322,,160,30100.0,,new,0.0306323,Q1 2022,FINANCE,13F,03/31/2022,65.91,
Boa acquisition corp,BOAS,"",200000.0,1980000.0,0.0299716,0.0269,161,0.0,0.0,,0.8695652,Q3 2021,FINANCE,13F,03/31/2022,9.71,
Pagaya technologies ltd,PGY,"",200000.0,1978000.0,0.0299414,0.0272,162,0.0,0.0,,0.0435775,Q3 2021,FINANCE,13F,03/31/2022,9.86,
Cartesian growth corp,GLBL,"",200000.0,1974000.0,0.0298808,0.027,163,0.0,0.0,,0.5797101,Q4 2021,FINANCE,13F,03/31/2022,9.88,
Social leverage acquisition corp i,SLAC,"",200000.0,1958000.0,0.0296386,0.0268,164,0.0,0.0,,0.5797101,Q4 2021,FINANCE,13F,03/31/2022,9.81,
Northern star investment corp iii,NSTC,"",200000.0,1958000.0,0.0296386,0.0267,165,0.0,0.0,,0.5000000,Q4 2021,FINANCE,13F,03/31/2022,9.75,
Austerlitz acquisition ii corp,ASZ,"",200000.0,1956000.0,0.0296084,0.0266,166,0.0,0.0,,0.1449275,Q3 2021,FINANCE,13F,03/31/2022,9.75,
Northern star investment corp iv,NSTD,"",200000.0,1952000.0,0.0295478,0.0267,167,0.0,0.0,,0.5000000,Q4 2021,FINANCE,13F,03/31/2022,9.74,
Dhb cap corp,DHBC,"",200000.0,1952000.0,0.0295478,0.0267,168,0.0,0.0,,0.6956522,Q2 2021,FINANCE,13F,03/31/2022,9.77,
Rxr acquisition corp,RXRA,"",200000.0,1948000.0,0.0294873,0.0267,169,0.0,0.0,,0.5797101,Q4 2021,FINANCE,13F,03/31/2022,9.75,
Gores holdings viii inc,GIIX,"",181213.0,1803000.0,0.0272924,0.0253,170,0.0,0.0,,0.5252551,Q2 2021,FINANCE,13F,03/31/2022,9.92,
Open lending corp,LPRO,"",90500.0,1711000.0,0.0258997,0.011,171,54800.0,153.501401,addition,0.0717014,Q4 2021,FINANCE,13F,03/31/2022,20.3183,
Te connectivity ltd,TEL,"",13000.0,1703000.0,0.0257786,,172,13000.0,,new,0.0040351,Q1 2022,INFORMATION TECHNOLOGY,13F,03/31/2022,130.98,
Tenaris sa ads adr,TS,"",50000.0,1504000.0,0.0227663,,173,50000.0,,new,0.0084707,Q1 2022,ENERGY,13F,03/31/2022,30.07,
Bentley sys inc note 0.125% 1/1,DEBT-BENT,PRN,1500000.0,1479000.0,0.0223879,,174,1500000.0,,new,N/A,Q1 2022, ,13F,03/31/2022,,
Hudson executive investment corp iii cla,HIII,"",150000.0,1466000.0,0.0221911,0.02,175,0.0,0.0,,0.2500000,Q4 2021,FINANCE,13F,03/31/2022,9.72,
Finserv acquisition corp ii,FSRX,"",150000.0,1466000.0,0.0221911,0.02,176,0.0,0.0,,0.4870130,Q4 2021,FINANCE,13F,03/31/2022,9.75,
Kairos acquisition corp,KAIR,"",148547.0,1457000.0,0.0220549,0.0199,177,0.0,0.0,,0.5382138,Q4 2021,FINANCE,13F,03/31/2022,9.79,
Fubotv inc,FUBO,PUT,200000.0,1314000.0,0.0198903,0.0425,178,0.0,0.0,,N/A,Q4 2021,INFORMATION TECHNOLOGY,13F,03/31/2022,,
Itron inc note 3/1,DEBT-ITRO,PRN,1500000.0,1280000.0,0.0193756,,179,1500000.0,,new,N/A,Q1 2022, ,13F,03/31/2022,,
Dragoneer growth opps iii corp,DGNU,"",125000.0,1225000.0,0.0185431,0.0167,180,0.0,0.0,,0.2902413,Q1 2021,FINANCE,13F,03/31/2022,10.11,
Gores technology partners inc,GTPA,"",125000.0,1225000.0,0.0185431,0.0168,181,0.0,0.0,,0.4545455,Q4 2021,FINANCE,13F,03/31/2022,9.83,
Hess midstream partners lp,HESM,"",39000.0,1170000.0,0.0177105,,182,39000.0,,new,0.0886306,Q1 2022,ENERGY,13F,03/31/2022,30.0,
Equitrans midstream corp,ETRN,"",134200.0,1133000.0,0.0171504,0.019,183,0.0,0.0,,0.0310100,Q2 2020,ENERGY,13F,03/31/2022,8.31,
Tishman speyer innovation corp ii,TSIB,"",100000.0,980000.0,0.0148345,0.0133,184,0.0,0.0,,0.3333333,Q4 2021,FINANCE,13F,03/31/2022,9.75,
New vista acquisition corp,NVSA,"",100000.0,979000.0,0.0148193,0.0133,185,0.0,0.0,,0.3623188,Q4 2021,FINANCE,13F,03/31/2022,9.73,
Arctos northstar acquisition corp,ANAC,"",100000.0,979000.0,0.0148193,0.0134,186,0.0,0.0,,0.3162055,Q4 2021,FINANCE,13F,03/31/2022,9.77,
Simon property group acquisition holdings inc,SPGS,"",100000.0,978000.0,0.0148042,0.0133,187,0.0,0.0,,0.2898551,Q4 2021,FINANCE,13F,03/31/2022,9.74,
Slam corp,SLAM,"",100000.0,977000.0,0.014789,0.0133,188,0.0,0.0,,0.1739130,Q4 2021,FINANCE,13F,03/31/2022,9.72,
Colicity inc cl a,COLI,"",100000.0,977000.0,0.014789,0.0133,189,0.0,0.0,,0.2898551,Q4 2021,FINANCE,13F,03/31/2022,9.75,
Nightdragon acquisition corp,NDAC,"",100000.0,977000.0,0.014789,0.0133,190,0.0,0.0,,0.2814127,Q4 2021,FINANCE,13F,03/31/2022,9.75,
Forest road acquisition corp ii,FRXB,"",100000.0,977000.0,0.014789,0.0133,191,0.0,0.0,,0.2857143,Q4 2021,FINANCE,13F,03/31/2022,9.73,
Goldman sachs group inc,GS,"",2284.0,754000.0,0.0114134,0.012,192,0.0,0.0,,0.0006650,Q3 2021,FINANCE,13F,03/31/2022,378.03,
Northwest natural holding co. (portland gas and coke),NWN,"",13506.0,699000.0,0.0105809,,193,13506.0,,new,0.0394273,Q1 2022,UTILITIES AND TELECOMMUNICATIONS,13F,03/31/2022,51.72,
Live oak mobility acquisition corp,LOKM,"",70000.0,687000.0,0.0103993,0.0094,194,0.0,0.0,,0.2766798,Q4 2021,FINANCE,13F,03/31/2022,9.77,
Freedom acquisition i corp,FACT,"",50000.0,490000.0,0.00741723,0.0066,195,0.0,0.0,,0.1449275,Q4 2021,FINANCE,13F,03/31/2022,9.68,
Altimar acquisition corp iii,ATAQ,"",50000.0,490000.0,0.00741723,0.0067,196,0.0,0.0,,0.3220612,Q4 2021,FINANCE,13F,03/31/2022,9.76,
Advanced merger partners inc,AMPI,"",50000.0,489000.0,0.00740209,0.0067,197,0.0,0.0,,0.1739130,Q4 2021,FINANCE,13F,03/31/2022,9.72,
Energy vault holdings inc,NRGV.WS,"",166666.0,450000.0,0.00681174,0.0028,198,0.0,0.0,,N/A,Q2 2021, ,13F,03/31/2022,,
Sitio royalties corporation,STR.WS,"",1072500.0,408000.0,0.00617598,0.002,199,0.0,0.0,,N/A,Q3 2018,INDUSTRIALS,13F,03/31/2022,,
Bank of new york mellon corp,BK,"",5627.0,279000.0,0.00422328,0.0045,200,0.0,0.0,,0.0006966,Q2 2021,FINANCE,13F,03/31/2022,51.23,
Synchrony financial,SYF,"",7257.0,253000.0,0.00382971,0.1193,201,-180698.0,-96.138969,reduction,0.0014471,Q4 2020,FINANCE,13F,03/31/2022,38.74,
Broadscale acquisition corp,SCLEW,"",381709.0,227000.0,0.00343614,,202,381709.0,,new,N/A,Q1 2022, ,13F,03/31/2022,,
Tpb acquisition corp i,TPBAW,"",437499.0,192000.0,0.00290634,0.0044,203,0.0,0.0,,N/A,Q4 2021, ,13F,03/31/2022,,
Local bounti corp,LOCL.WS,"",100000.0,190000.0,0.00287607,0.0009,204,0.0,0.0,,N/A,Q2 2021, ,13F,03/31/2022,,
Bowlero corp,BOWL.WS,"",66666.0,187000.0,0.00283066,0.0011,205,0.0,0.0,,N/A,Q3 2021, ,13F,03/31/2022,,
Brc inc,BRCC.WS,"",33332.0,149000.0,0.00225544,0.0006,206,0.0,0.0,,N/A,Q4 2021, ,13F,03/31/2022,,
Arclight clean transition corp ii,ACTDW,"",100000.0,133000.0,0.00201325,0.0023,207,0.0,0.0,,N/A,Q2 2021, ,13F,03/31/2022,,
Figure acquisition corp i,FACA.WS,"",125000.0,88000.0,0.00133207,0.002,208,0.0,0.0,,N/A,Q2 2021, ,13F,03/31/2022,,
Terran orbital corp,LLAP.WS,"",166666.0,82000.0,0.00124125,0.0019,209,0.0,0.0,,N/A,Q2 2021, ,13F,03/31/2022,,
Ginkgo bioworks holdings  inc,DNA,CALL,80000.0,70000.0,0.0010596,0.0024,210,0.0,0.0,,N/A,Q3 2021,HEALTH CARE,13F,03/31/2022,,
Esm acquisition corp,ESM.WS,"",166666.0,67000.0,0.00101419,0.0017,211,0.0,0.0,,N/A,Q2 2021, ,13F,03/31/2022,,
Rigetti computing inc,RGTI,CALL,49998.0,65000.0,0.000983918,,212,49998.0,,new,N/A,Q1 2022,INFORMATION TECHNOLOGY,13F,03/31/2022,,
Pagaya technologies ltd,PGYWW,"",66666.0,63000.0,0.000953643,0.0012,213,0.0,0.0,,N/A,Q3 2021, ,13F,03/31/2022,,
Jaws mustang acquisition corporation,JWSM.WS,"",125000.0,61000.0,0.000923369,0.0018,214,0.0,0.0,,N/A,Q2 2021, ,13F,03/31/2022,,
Austerlitz acquisition corp i,AUS.WS,"",100000.0,55000.0,0.000832546,0.0014,215,0.0,0.0,,N/A,Q2 2021, ,13F,03/31/2022,,
Tcw special purpose acquisition corp,TSPQ.WS,"",159615.0,51000.0,0.000771997,0.0013,216,0.0,0.0,,N/A,Q2 2021, ,13F,03/31/2022,,
Digital transformation opportunities corp,DTOCW,"",125000.0,50000.0,0.00075686,0.0011,217,0.0,0.0,,N/A,Q2 2021, ,13F,03/31/2022,,
M3 brigade acquisition ii corp,MBAC.WS,"",144537.0,49000.0,0.000741723,0.0023,218,0.0,0.0,,N/A,Q2 2021, ,13F,03/31/2022,,
Churchill capital corp vii,CVII.WS,"",80000.0,48000.0,0.000726585,0.0011,219,0.0,0.0,,N/A,Q2 2021, ,13F,03/31/2022,,
Apollo strategic growth capital ii,APGB.WS,"",80000.0,46000.0,0.000696311,0.001,220,0.0,0.0,,N/A,Q2 2021, ,13F,03/31/2022,,
Rmg acquisition corp iii,RMGCW,"",100000.0,44000.0,0.000666037,0.0011,221,0.0,0.0,,N/A,Q2 2021, ,13F,03/31/2022,,
Ftac hera acquisition corp,HERAW,"",99999.0,44000.0,0.000666037,0.0013,222,0.0,0.0,,N/A,Q2 2021, ,13F,03/31/2022,,
Eqrx inc,EQRXW,"",50000.0,44000.0,0.000666037,0.0007,223,0.0,0.0,,N/A,Q3 2021, ,13F,03/31/2022,,
Cartesian growth corp,GLBLW,"",66666.0,42000.0,0.000635762,0.001,224,0.0,0.0,,N/A,Q4 2021, ,13F,03/31/2022,,
Ares acquisition corporation,AAC.WS,"",100000.0,41000.0,0.000620625,0.0012,225,0.0,0.0,,N/A,Q2 2021, ,13F,03/31/2022,,
Atlas crest investment corp ii,ACII.WS,"",125000.0,41000.0,0.000620625,0.0014,226,0.0,0.0,,N/A,Q2 2021, ,13F,03/31/2022,,
Colonnade acquisition corp ii,CLAA.WS,"",100000.0,41000.0,0.000620625,0.001,227,0.0,0.0,,N/A,Q2 2021, ,13F,03/31/2022,,
Ithax acquisition corp,ITHXW,"",125000.0,39000.0,0.000590351,0.0009,228,0.0,0.0,,N/A,Q3 2021, ,13F,03/31/2022,,
Fathom digital manufacturing corporation,FATH,CALL,50000.0,38000.0,0.000575214,0.0006,229,0.0,0.0,,N/A,Q4 2021,FINANCE,13F,03/31/2022,,
Ushg acquisition corp,HUGS.WS,"",33332.0,38000.0,0.000575214,0.0008,230,0.0,0.0,,N/A,Q4 2021, ,13F,03/31/2022,,
Peridot acquisition corp ii,PDOT.WS,"",100000.0,38000.0,0.000575214,0.0012,231,0.0,0.0,,N/A,Q2 2021, ,13F,03/31/2022,,
Landcadia holdings iv inc,LCAHW,"",74999.0,38000.0,0.000575214,0.001,232,0.0,0.0,,N/A,Q3 2021, ,13F,03/31/2022,,
Gores technology partners ii inc,GTPBW,"",50000.0,37000.0,0.000560076,0.0009,233,0.0,0.0,,N/A,Q3 2021, ,13F,03/31/2022,,
Independence holdings corp,ACQRW,"",80000.0,37000.0,0.000560076,0.001,234,0.0,0.0,,N/A,Q2 2021, ,13F,03/31/2022,,
Fusion acquisition corp ii,FSNB.WS,"",166666.0,34000.0,0.000514665,0.0014,235,0.0,0.0,,N/A,Q2 2021, ,13F,03/31/2022,,
Gores holdings viii inc,GIIXW,"",24999.0,32000.0,0.00048439,0.0007,236,0.0,0.0,,N/A,Q2 2021, ,13F,03/31/2022,,
Gores holdings vii inc,GSEVW,"",37499.0,31000.0,0.000469253,0.0007,237,0.0,0.0,,N/A,Q2 2021, ,13F,03/31/2022,,
Austerlitz acquisition corp ii,ASZ.WS,"",50000.0,28000.0,0.000423842,0.0007,238,0.0,0.0,,N/A,Q3 2021, ,13F,03/31/2022,,
Babylon holdings limited,BBLN.WS,"",50000.0,27000.0,0.000408704,0.0005,239,0.0,0.0,,N/A,Q3 2021, ,13F,03/31/2022,,
One equity partners open water i corp,OEPWW,"",80000.0,26000.0,0.000393567,0.0006,240,0.0,0.0,,N/A,Q3 2021, ,13F,03/31/2022,,
Mason industrial technology inc,MIT.WS,"",80000.0,26000.0,0.000393567,0.0007,241,0.0,0.0,,N/A,Q3 2021, ,13F,03/31/2022,,
Orion acquisition corp,OHPAW,"",75000.0,23000.0,0.000348156,0.0007,242,0.0,0.0,,N/A,Q3 2021, ,13F,03/31/2022,,
Pathfinder acquisition corp,PFDRW,"",60000.0,22000.0,0.000333018,0.0005,243,0.0,0.0,,N/A,Q2 2021, ,13F,03/31/2022,,
Dhb capital corp,DHBCW,"",66666.0,22000.0,0.000333018,0.0006,244,0.0,0.0,,N/A,Q2 2021, ,13F,03/31/2022,,
Tzp strategies acquisition corp,TZPSW,"",79999.0,21000.0,0.000317881,0.0006,245,0.0,0.0,,N/A,Q3 2021, ,13F,03/31/2022,,
Fintech evolution acquisition group,FTEV.WS,"",100000.0,21000.0,0.000317881,0.0008,246,0.0,0.0,,N/A,Q3 2021, ,13F,03/31/2022,,
Social leverage acquisition corp i,SLAC.WS,"",50000.0,20000.0,0.000302744,0.0006,247,0.0,0.0,,N/A,Q4 2021, ,13F,03/31/2022,,
Tailwind international acquisition corp,TWNI.WS,"",100000.0,20000.0,0.000302744,0.0008,248,0.0,0.0,,N/A,Q3 2021, ,13F,03/31/2022,,
Gores technology partners inc,GTPAW,"",25000.0,20000.0,0.000302744,0.0005,249,0.0,0.0,,N/A,Q4 2021, ,13F,03/31/2022,,
Noble rock acquisition corp,NRACW,"",83333.0,19000.0,0.000287607,0.0006,250,0.0,0.0,,N/A,Q2 2021, ,13F,03/31/2022,,
Boa acquisition corp,BOAS.WS,"",66666.0,18000.0,0.00027247,0.0005,251,0.0,0.0,,N/A,Q3 2021, ,13F,03/31/2022,,
Rxr acquisition corp,RXRAW,"",40000.0,18000.0,0.00027247,0.0004,252,0.0,0.0,,N/A,Q4 2021, ,13F,03/31/2022,,
Tlg acquisition one corp,TLGA.WS,"",83333.0,17000.0,0.000257332,0.0006,253,0.0,0.0,,N/A,Q3 2021, ,13F,03/31/2022,,
Northern star investment corp iii,NSTC.WS,"",33332.0,15000.0,0.000227058,0.0004,254,0.0,0.0,,N/A,Q4 2021, ,13F,03/31/2022,,
Northern star investment corp iv,NSTD.WS,"",33332.0,15000.0,0.000227058,0.0004,255,0.0,0.0,,N/A,Q4 2021, ,13F,03/31/2022,,
Kairos acquisition corp,KAIRW,"",74273.0,13000.0,0.000196784,0.0005,256,0.0,0.0,,N/A,Q4 2021, ,13F,03/31/2022,,
New vista acquisition corp,NVSAW,"",33333.0,13000.0,0.000196784,0.0003,257,0.0,0.0,,N/A,Q4 2021, ,13F,03/31/2022,,
Hudson executive investment corp iii,HIIIW,"",30000.0,12000.0,0.000181646,0.0003,258,0.0,0.0,,N/A,Q4 2021, ,13F,03/31/2022,,
Finserv acquisition corp ii,FSRXW,"",37500.0,12000.0,0.000181646,0.0003,259,0.0,0.0,,N/A,Q4 2021, ,13F,03/31/2022,,
Slam corp,SLAMW,"",24999.0,10000.0,0.000151372,0.0002,260,0.0,0.0,,N/A,Q4 2021, ,13F,03/31/2022,,
Nightdragon acquisition corp,NDACW,"",20000.0,10000.0,0.000151372,0.0002,261,0.0,0.0,,N/A,Q4 2021, ,13F,03/31/2022,,
Simon property group acquisition holdings inc,SPGS.WS,"",20000.0,9000.0,0.000136235,0.0002,262,0.0,0.0,,N/A,Q4 2021, ,13F,03/31/2022,,
Arctos northstar acquisition corp,ANAC.WS,"",24999.0,9000.0,0.000136235,0.0003,263,0.0,0.0,,N/A,Q4 2021, ,13F,03/31/2022,,
Forest road acquisition corp ii,FRXB.WS,"",20000.0,9000.0,0.000136235,0.0002,264,0.0,0.0,,N/A,Q4 2021, ,13F,03/31/2022,,
Tishman speyer innovation corp ii,TSIBW,"",20000.0,8000.0,0.000121098,0.0002,265,0.0,0.0,,N/A,Q4 2021, ,13F,03/31/2022,,
Colicity inc,COLIW,"",20000.0,8000.0,0.000121098,0.0002,266,0.0,0.0,,N/A,Q4 2021, ,13F,03/31/2022,,
Fast radius inc,FSRDW,"",43750.0,7000.0,0.00010596,0.0004,267,0.0,0.0,,N/A,Q4 2021, ,13F,03/31/2022,,
Altimar acquisition corp iii,ATAQ.WS,"",12499.0,7000.0,0.00010596,0.0002,268,0.0,0.0,,N/A,Q4 2021, ,13F,03/31/2022,,
Live oak mobility acquisition corp,LOKM.WS,"",13999.0,6000.0,9.08232e-05,0.0002,269,0.0,0.0,,N/A,Q4 2021, ,13F,03/31/2022,,
Freedom acquisition i corp,FACT.WS,"",12499.0,5000.0,7.5686e-05,0.0001,270,0.0,0.0,,N/A,Q4 2021, ,13F,03/31/2022,,
Advanced merger partners inc,AMPI.WS,"",8332.0,5000.0,7.5686e-05,0.0001,271,0.0,0.0,,N/A,Q4 2021, ,13F,03/31/2022,,
Take-two interactive software  inc.,TTWO,"",1.0,0.0,0.0,,272,1.0,,new,0.0000009,Q1 2022,INFORMATION TECHNOLOGY,13F,03/31/2022,153.74,
Vonage holdings corp,VG,"",1.0,0.0,0.0,,273,1.0,,new,0.0000004,Q1 2022,UTILITIES AND TELECOMMUNICATIONS,13F,03/31/2022,20.29,
Unitedhealth group inc.,UNH,"",0.0,0.0,0.0,0.1362,274,-19818.0,-100.0,soldall,0.0000000,Q3 2021,HEALTH CARE,13F,03/31/2022,390.74,
Halliburton co.,HAL,"",0.0,0.0,0.0,0.0391,275,-125000.0,-100.0,soldall,0.0000000,Q4 2021,ENERGY,13F,03/31/2022,22.87,
Nuance communications  inc.,NUAN,"",0.0,0.0,0.0,2.1578,276,-2850527.0,-100.0,soldall,N/A,Q2 2021,INFORMATION TECHNOLOGY,13F,03/31/2022,54.76,
Bp plc adr (british petroleum),BP,"",0.0,0.0,0.0,0.1093,277,-300000.0,-100.0,soldall,0.0000000,Q4 2021,ENERGY,13F,03/31/2022,26.63,
Intercontinental exchange inc,ICE,"",0.0,0.0,0.0,0.0133,278,-7095.0,-100.0,soldall,0.0000000,Q3 2020,FINANCE,13F,03/31/2022,100.05,
M&t bank corp. (buffalo  ny) (manufacturers & traders trust),MTB,"",0.0,0.0,0.0,0.031,279,-14751.0,-100.0,soldall,0.0000000,Q3 2021,FINANCE,13F,03/31/2022,149.34,
Royal dutch shell plc class b adr,RDS.B,"",0.0,0.0,0.0,0.178,280,-300000.0,-100.0,soldall,N/A,Q4 2021,ENERGY,13F,03/31/2022,43.35,
Booking holdings inc. (priceline),BKNG,"",0.0,0.0,0.0,0.0789,281,-2404.0,-100.0,soldall,0.0000000,Q4 2020,CONSUMER DISCRETIONARY,13F,03/31/2022,2313.82,
Lithia motors inc  class a,LAD,"",0.0,0.0,0.0,0.1445,282,-35550.0,-100.0,soldall,0.0000000,Q4 2020,CONSUMER DISCRETIONARY,13F,03/31/2022,312.09,
Hain celestial group,HAIN,"",0.0,0.0,0.0,0.1992,283,-341672.0,-100.0,soldall,0.0000000,Q2 2020,CONSUMER STAPLES,13F,03/31/2022,33.18,
Old national bancorp,ONB,"",0.0,0.0,0.0,0.0832,284,-335557.0,-100.0,soldall,0.0000000,Q4 2021,FINANCE,13F,03/31/2022,18.12,
Cheniere energy inc,LNG,PRN,0.0,0.0,0.0,0.0576,285,-5000000.0,-100.0,soldall,N/A,Q1 2020,ENERGY,13F,03/31/2022,,
3d systems corp.,DDD,PUT,0.0,0.0,0.0,0.059,286,-200000.0,-100.0,soldall,N/A,Q4 2021,INDUSTRIALS,13F,03/31/2022,,
Sterling bancorp  inc. (provident bancorp),STL,"",0.0,0.0,0.0,0.0275,287,-77831.0,-100.0,soldall,N/A,Q4 2021,FINANCE,13F,03/31/2022,25.79,
Activision blizzard inc,ATVI,"",0.0,0.0,0.0,0.9228,288,-1013608.0,-100.0,soldall,0.0000000,Q4 2019,INFORMATION TECHNOLOGY,13F,03/31/2022,69.01,
Sempra energy  inc.,SRE,"",0.0,0.0,0.0,0.0453,289,-25000.0,-100.0,soldall,0.0000000,Q1 2021,UTILITIES AND TELECOMMUNICATIONS,13F,03/31/2022,132.58,
Amyris inc.,AMRS,"",0.0,0.0,0.0,0.0132,290,-178000.0,-100.0,soldall,0.0000000,Q4 2021,MATERIALS,13F,03/31/2022,5.41,
General motors co,GM,CALL,0.0,0.0,0.0,0.3209,291,-400000.0,-100.0,soldall,N/A,Q3 2021,CONSUMER DISCRETIONARY,13F,03/31/2022,,
General motors co,GM,"",0.0,0.0,0.0,0.69,292,-860002.0,-100.0,soldall,0.0000000,Q2 2020,CONSUMER DISCRETIONARY,13F,03/31/2022,43.09,
Fubotv inc,FUBO,"",0.0,0.0,0.0,0.0017,293,-8019.0,-100.0,soldall,0.0000000,Q4 2021,INFORMATION TECHNOLOGY,13F,03/31/2022,15.52,
Ally financial inc,ALLY,"",0.0,0.0,0.0,0.4501,294,-690909.0,-100.0,soldall,0.0000000,Q4 2020,FINANCE,13F,03/31/2022,38.27,
Ihs markit ltd,INFO,"",0.0,0.0,0.0,5.3628,295,-2948436.0,-100.0,soldall,N/A,Q2 2021,INFORMATION TECHNOLOGY,13F,03/31/2022,117.6,
Wayfair inc class a,W,PUT,0.0,0.0,0.0,0.052,296,-20000.0,-100.0,soldall,N/A,Q4 2021,CONSUMER DISCRETIONARY,13F,03/31/2022,,
Onemain holdings inc,OMF,"",0.0,0.0,0.0,0.2266,297,-330933.0,-100.0,soldall,0.0000000,Q2 2020,FINANCE,13F,03/31/2022,32.26,
Infrastructure & energy alternatives inc,IEA,"",0.0,0.0,0.0,0.0063,298,-50000.0,-100.0,soldall,0.0000000,Q3 2021,FINANCE,13F,03/31/2022,11.43,
Kimbell royalty partners lp units,KRP,"",0.0,0.0,0.0,0.028,299,-150000.0,-100.0,soldall,0.0000000,Q4 2021,ENERGY,13F,03/31/2022,13.63,
Fisker inc,FSR,"",0.0,0.0,0.0,0.0683,300,-317300.0,-100.0,soldall,0.0000000,Q3 2021,FINANCE,13F,03/31/2022,14.65,
Lyft inc,LYFT,"",0.0,0.0,0.0,0.0585,301,-100000.0,-100.0,soldall,0.0000000,Q4 2021,CONSUMER DISCRETIONARY,13F,03/31/2022,42.73,
Uber technologies inc,UBER,CALL,0.0,0.0,0.0,0.0287,302,-50000.0,-100.0,soldall,N/A,Q4 2021,CONSUMER DISCRETIONARY,13F,03/31/2022,,
Uber technologies inc,UBER,PUT,0.0,0.0,0.0,0.0861,303,-150000.0,-100.0,soldall,N/A,Q4 2021,CONSUMER DISCRETIONARY,13F,03/31/2022,,
Uber technologies inc,UBER,"",0.0,0.0,0.0,0.3037,304,-529297.0,-100.0,soldall,0.0000000,Q4 2020,CONSUMER DISCRETIONARY,13F,03/31/2022,42.37,
Peloton interactive inc,PTON,"",0.0,0.0,0.0,0.1826,305,-373083.0,-100.0,soldall,0.0000000,Q4 2021,CONSUMER DISCRETIONARY,13F,03/31/2022,35.76,
Arconic corp. (2020),ARNC,"",0.0,0.0,0.0,0.1268,306,-280782.0,-100.0,soldall,0.0000000,Q4 2021,MATERIALS,13F,03/31/2022,33.01,
Danimer scientific inc,DNMR,"",0.0,0.0,0.0,0.0233,307,-200000.0,-100.0,soldall,0.0000000,Q1 2021,FINANCE,13F,03/31/2022,31.9,
Mp materials corp,MP,PUT,0.0,0.0,0.0,0.1865,308,-300000.0,-100.0,soldall,N/A,Q4 2021,FINANCE,13F,03/31/2022,,
Unity software inc.,U,PUT,0.0,0.0,0.0,0.2348,309,-120000.0,-100.0,soldall,N/A,Q4 2021,INFORMATION TECHNOLOGY,13F,03/31/2022,,
Payoneer global inc,PAYO,"",0.0,0.0,0.0,0.0136,310,-135000.0,-100.0,soldall,0.0000000,Q4 2021,FINANCE,13F,03/31/2022,7.35,
Wework inc,WE,"",0.0,0.0,0.0,0.0152,311,-128791.0,-100.0,soldall,0.0000000,Q4 2021,REAL ESTATE,13F,03/31/2022,8.6,
Li-cycle holdings corp,LICY.WS,"",0.0,0.0,0.0,0.0029,312,-85248.0,-100.0,soldall,N/A,Q3 2021, ,13F,03/31/2022,,
Beauty health co,SKIN,PUT,0.0,0.0,0.0,0.0661,313,-200000.0,-100.0,soldall,N/A,Q4 2021,FINANCE,13F,03/31/2022,,
Ses ai corporation,SES,"",0.0,0.0,0.0,0.0681,314,-500000.0,-100.0,soldall,0.0000000,Q3 2021,FINANCE,13F,03/31/2022,9.9,
Digitalocean holdings inc,DOCN,PUT,0.0,0.0,0.0,0.0769,315,-70000.0,-100.0,soldall,N/A,Q4 2021,INFORMATION TECHNOLOGY,13F,03/31/2022,,
Energy vault holdings inc,NRGV,"",0.0,0.0,0.0,0.0677,316,-500000.0,-100.0,soldall,0.0000000,Q2 2021,FINANCE,13F,03/31/2022,9.75,
Tritium dcfc limited,DCFC,"",0.0,0.0,0.0,0.0682,317,-500000.0,-100.0,soldall,0.0000000,Q2 2021,FINANCE,13F,03/31/2022,9.87,
Allego nv,ALLG.WS,"",0.0,0.0,0.0,0.0025,318,-125000.0,-100.0,soldall,N/A,Q2 2021, ,13F,03/31/2022,,
Allego nv,ALLG,"",0.0,0.0,0.0,0.0675,319,-500000.0,-100.0,soldall,0.0000000,Q2 2021,FINANCE,13F,03/31/2022,9.78,
Tritium dcfc limited,DCFCW,"",0.0,0.0,0.0,0.0036,320,-166666.0,-100.0,soldall,N/A,Q2 2021, ,13F,03/31/2022,,
Broadscale acquisition corp,SCLE,"",0.0,0.0,0.0,0.0136,321,-100000.0,-100.0,soldall,0.0000000,Q4 2021,FINANCE,13F,03/31/2022,9.94,
Fast radius inc,FSRD,"",0.0,0.0,0.0,0.0236,322,-175000.0,-100.0,soldall,0.0000000,Q4 2021,FINANCE,13F,03/31/2022,9.86,
Wallbox n.v,WBX.WS,"",0.0,0.0,0.0,0.0017,323,-24999.0,-100.0,soldall,N/A,Q2 2021, ,13F,03/31/2022,,
Rigetti computing inc,RGTIW,"",0.0,0.0,0.0,0.0016,324,-49998.0,-100.0,soldall,N/A,Q2 2021, ,13F,03/31/2022,,
